ward,category,pct
16,Apartments & condos allowed,22.999983131213263
16,Planned Developments,6.622819688256236
16,All other zones (no residential allowed),6.891746744374771
17,Apartments & condos not allowed (RS),52.69505062837311
17,Apartments & condos allowed,23.12717311704386
17,Planned Developments,3.5687158774158867
17,All other zones (no residential allowed),20.60906037716715
18,Apartments & condos not allowed (RS),60.966862550553934
18,Apartments & condos allowed,8.784728051745807
18,Planned Developments,6.717745435729229
18,All other zones (no residential allowed),23.53066396197103
19,Apartments & condos not allowed (RS),81.8812132490617
19,Apartments & condos allowed,10.194384780078188
19,Planned Developments,2.8436087124896368
19,All other zones (no residential allowed),5.080793258370465
20,Apartments & condos not allowed (RS),21.23468263594107
20,Apartments & condos allowed,39.86270766896894
20,Planned Developments,5.826966794218517
20,All other zones (no residential allowed),33.07564290087148
21,Apartments & condos not allowed (RS),65.92738119551417
21,Apartments & condos allowed,12.665494318612232
21,Planned Developments,7.387424119021162
21,All other zones (no residential allowed),14.019700366852438
22,Apartments & condos not allowed (RS),32.954297576390225
22,Apartments & condos allowed,19.49373026610862
22,Planned Developments,14.935302306709536
22,All other zones (no residential allowed),32.61666985079163
23,Apartments & condos not allowed (RS),67.80706180060584
23,Apartments & condos allowed,10.95614224549676
23,Planned Developments,5.029943376360635
23,All other zones (no residential allowed),16.206852577536758
24,Apartments & condos not allowed (RS),7.479950588099765
24,Apartments & condos allowed,53.58753732862872
24,Planned Developments,10.984489670888799
24,All other zones (no residential allowed),27.948022412382713
25,Apartments & condos not allowed (RS),4.925477028494735
25,Apartments & condos allowed,42.459736286426484
25,Planned Developments,14.01182333770753
25,All other zones (no residential allowed),38.60296334737125
26,Apartments & condos not allowed (RS),55.99451120355571
26,Apartments & condos allowed,18.785439686575042
26,Planned Developments,4.5148466604059685
26,All other zones (no residential allowed),20.705202449463282
27,Apartments & condos not allowed (RS),6.579262539909822
27,Apartments & condos allowed,33.133086711984674
27,Planned Developments,27.618373044982565
27,All other zones (no residential allowed),32.66927770312294
28,Apartments & condos not allowed (RS),4.601872669437475
28,Apartments & condos allowed,39.18134298079533
28,Planned Developments,22.54895379719742
28,All other zones (no residential allowed),33.667830552569775
29,Apartments & condos not allowed (RS),52.729892907707885
29,Apartments & condos allowed,20.225524416308232
29,Planned Developments,4.23864612513128
29,All other zones (no residential allowed),22.805936550852604
30,Apartments & condos not allowed (RS),77.5226595089723
30,Apartments & condos allowed,13.394807849850487
30,Planned Developments,1.897175135364
30,All other zones (no residential allowed),7.185357505813202
31,Apartments & condos not allowed (RS),68.77231871890456
31,Apartments & condos allowed,17.455537797694685
31,Planned Developments,2.704138815899651
31,All other zones (no residential allowed),11.068004667501107
32,Apartments & condos not allowed (RS),28.20557028059933
32,Apartments & condos allowed,35.95376166692968
32,Planned Developments,18.832047044956322
32,All other zones (no residential allowed),17.00862100751466
33,Apartments & condos not allowed (RS),58.95362858899853
33,Apartments & condos allowed,29.46508206984197
33,Planned Developments,4.862302235203639
33,All other zones (no residential allowed),6.718987105955865
34,Apartments & condos not allowed (RS),0.0
34,Apartments & condos allowed,58.201475862901205
34,Planned Developments,30.242510013815743
34,All other zones (no residential allowed),11.556014123283049
35,Apartments & condos not allowed (RS),60.13387312500333
35,Apartments & condos allowed,20.38887097465713
35,Planned Developments,4.962478021226446
35,All other zones (no residential allowed),14.514777879113092
36,Apartments & condos not allowed (RS),57.04208072129824
36,Apartments & condos allowed,28.225785937622415
36,Planned Developments,6.268030459320426
36,All other zones (no residential allowed),8.46410288175893
37,Apartments & condos not allowed (RS),56.467477424652024
37,Apartments & condos allowed,14.970215829376018
37,Planned Developments,7.400947082333323
37,All other zones (no residential allowed),21.161359663638628
38,Apartments & condos not allowed (RS),61.8391057259322
38,Apartments & condos allowed,6.3922717282799235
38,Planned Developments,4.802070714730412
38,All other zones (no residential allowed),26.966551831057473
39,Apartments & condos not allowed (RS),57.93494077703515
39,Apartments & condos allowed,11.124773962976244
39,Planned Developments,7.782263283816938
39,All other zones (no residential allowed),23.15802197617167
40,Apartments & condos not allowed (RS),60.591210971246724
40,Apartments & condos allowed,21.038895224431275
40,Planned Developments,5.5987697892387365
40,All other zones (no residential allowed),12.771124015083258
41,Apartments & condos not allowed (RS),25.974551780859112
41,Apartments & condos allowed,4.020463192026662
41,Planned Developments,63.8270641103388
41,All other zones (no residential allowed),6.177920916775423
42,Apartments & condos not allowed (RS),0.0
42,Apartments & condos allowed,32.98668387257393
42,Planned Developments,46.68196635719253
42,All other zones (no residential allowed),20.331349770233544
43,Apartments & condos not allowed (RS),0.32661730716710363
43,Apartments & condos allowed,56.995315953974504
43,Planned Developments,11.203417129737574
43,All other zones (no residential allowed),31.47464960912083
44,Apartments & condos not allowed (RS),6.6129010303678655
44,Apartments & condos allowed,73.08682994833654
44,Planned Developments,7.807047710070379
44,All other zones (no residential allowed),12.49322131122522
45,Apartments & condos not allowed (RS),70.24514456579067
45,Apartments & condos allowed,13.817049960108868
45,Planned Developments,2.811225095612326
45,All other zones (no residential allowed),13.126580378488143
46,Apartments & condos not allowed (RS),3.7791703666665226
46,Apartments & condos allowed,59.09032737881888
46,Planned Developments,6.697432363576902
46,All other zones (no residential allowed),30.433069890937702
47,Apartments & condos not allowed (RS),54.58625065003678
47,Apartments & condos allowed,28.759308496436976
47,Planned Developments,6.455483086832182
47,All other zones (no residential allowed),10.198957766694052
48,Apartments & condos not allowed (RS),27.081839744778463
48,Apartments & condos allowed,49.45273185419059
48,Planned Developments,3.9063264919009244
48,All other zones (no residential allowed),19.559101909130025
49,Apartments & condos not allowed (RS),25.207986942827365
49,Apartments & condos allowed,59.218831468665655
49,Planned Developments,7.952880241024123
49,All other zones (no residential allowed),7.620301347482866
50,Apartments & condos not allowed (RS),51.51233737230545
50,Apartments & condos allowed,36.83391044916377
50,Planned Developments,7.048742695654256
50,All other zones (no residential allowed),4.605009482876541
